Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1195723,         47828920,          90503.79,000000013326080
NIFTY     ,          1728474,        129635550,         108967.14,000000124115650
NIFTYCPSE ,              029,             7250,              1.82,000000000005250
NIFTYIT   ,              002,              100,              0.11,000000000000100
