Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           197837,          13145.28
Stock Futures  ,           528559,          34335.36
Index Options  ,          2827483,         189520.47
Stock Options  ,           286482,          19254.41
Vol Futures    ,              000,              0.00
F&O Total      ,          3840361,         256255.52
