INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,CE      ,00001892.00,00001905.00,00001882.00,00001901.85,000000000356775,             4350,              058,              041,       36516656.25,        8241656.25
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,PE      ,00000000.15,00000000.20,00000000.15,00000000.20,000000000098550,            13950,              186,              041,       90677452.50,           2452.50
OPTIDX    ,NIFTY     ,25/01/2017,00006700.00,PE      ,00000000.50,00000000.50,00000000.50,00000000.50,000000000000300,              075,              001,              001,         502537.50,             37.50
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,CE      ,00001384.25,00001414.65,00001381.75,00001405.75,000000001058625,            36450,              486,              257,      306080572.50,       50930572.50
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,PE      ,00000000.60,00000000.80,00000000.40,00000000.55,000000001185300,           109875,             1465,              283,      769193212.50,          68212.50
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,CE      ,00001359.10,00001360.00,00001358.20,00001359.05,000000000090600,             2100,              028,              012,       17658930.00,        2853930.00
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,PE      ,00000000.60,00000000.80,00000000.60,00000000.75,000000000074925,             3300,              044,              007,       23267433.75,           2433.75
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,CE      ,00001295.00,00001302.00,00001288.45,00001299.40,000000000250800,            11250,              150,              077,       94429657.50,       14554657.50
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,PE      ,00000000.75,00000000.80,00000000.55,00000000.60,000000000233550,            36825,              491,              108,      261482017.50,          24517.50
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,CE      ,00001194.45,00001208.00,00001194.45,00001208.00,000000000093750,              525,              007,              003,        4409857.50,         629857.50
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,PE      ,00000000.90,00000000.95,00000000.70,00000000.75,000000000546150,            76425,             1019,              213,      550321473.75,          61473.75
OPTIDX    ,NIFTY     ,25/01/2017,00007300.00,CE      ,00001099.70,00001113.35,00001087.00,00001105.30,000000000060450,             3750,              050,              035,       31503806.25,        4128806.25
OPTIDX    ,NIFTY     ,25/01/2017,00007300.00,PE      ,00000001.05,00000001.15,00000000.70,00000000.75,000000000593025,           142725,             1903,              334,     1042017311.25,         124811.25
OPTIDX    ,NIFTY     ,25/01/2017,00007400.00,CE      ,00001001.30,00001012.80,00000981.95,00001012.10,000000000377175,             4875,              065,              042,       40923060.00,        4848060.00
OPTIDX    ,NIFTY     ,25/01/2017,00007400.00,PE      ,00000001.25,00000001.40,00000001.00,00000001.15,000000000746100,           111825,             1491,              216,      827637948.75,         132948.75
OPTIDX    ,NIFTY     ,25/01/2017,00007500.00,CE      ,00000891.00,00000914.20,00000880.00,00000910.45,000000000726450,            97200,             1296,              746,      816338711.25,       87338711.25
OPTIDX    ,NIFTY     ,25/01/2017,00007500.00,PE      ,00000003.00,00000003.00,00000001.65,00000001.75,000000002558550,           875625,            11675,             2491,     6568735425.00,        1547925.00
OPTIDX    ,NIFTY     ,25/01/2017,00007600.00,CE      ,00000795.00,00000815.25,00000789.05,00000805.65,000000000250425,             3225,              043,              034,       27101520.00,        2591520.00
OPTIDX    ,NIFTY     ,25/01/2017,00007600.00,PE      ,00000001.80,00000002.25,00000001.60,00000002.00,000000001697400,           589725,             7863,             2209,     4483134382.50,        1224382.50
OPTIDX    ,NIFTY     ,25/01/2017,00007650.00,CE      ,00000755.00,00000755.00,00000755.00,00000755.00,000000000000375,              150,              002,              002,        1260750.00,         113250.00
