INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,DJIA      ,20/01/2017,00019820.00,00019865.00,00019812.50,00019860.00,000000000034860,       43466775.00,             2190,              073,              043
FUTIDX    ,FTSE100   ,20/01/2017,00007195.00,00007195.00,00007195.00,00007195.00,000000000001000,        7195000.00,             1000,              010,              002
FUTIDX    ,NIFTY     ,25/01/2017,00008200.00,00008228.00,00008159.00,00008196.50,000000017229825,    69802528668.75,          8514525,           113527,            67014
FUTIDX    ,NIFTY     ,23/02/2017,00008220.00,00008250.00,00008185.00,00008222.60,000000000982350,     3282230891.25,           399075,             5321,             4334
FUTIDX    ,NIFTY     ,30/03/2017,00008253.30,00008278.20,00008214.00,00008248.40,000000000223875,     1241053571.25,           150300,             2004,             1479
FUTIDX    ,NIFTYCPSE ,25/01/2017,00002347.50,00002420.90,00002347.50,00002385.15,000000000011750,       20211575.00,             8500,              034,              028
FUTIDX    ,NIFTYIT   ,25/01/2017,00010364.00,00010381.00,00010291.00,00010360.00,000000000031250,       91446200.00,             8850,              177,              150
FUTIDX    ,S&P500    ,20/01/2017,00002245.00,00002252.00,00002244.25,00002250.00,000000000360000,       66370937.50,            29500,              118,              038
FUTSTK    ,SAIL      ,25/01/2017,00000050.65,00000051.15,00000050.05,00000050.85,000000050052000,     1401436800.00,         27708000,             2309,             2131
FUTSTK    ,SAIL      ,23/02/2017,00000050.10,00000050.55,00000049.75,00000050.40,000000004272000,      113727600.00,          2268000,              189,              138
FUTSTK    ,SAIL      ,30/03/2017,00000050.05,00000050.10,00000049.85,00000050.10,000000000216000,        5396400.00,           108000,              009,              009
FUTSTK    ,SBIN      ,25/01/2017,00000244.60,00000246.85,00000241.50,00000245.35,000000075252000,    12959905650.00,         52899000,            17633,            16238
FUTSTK    ,SBIN      ,23/02/2017,00000243.70,00000247.20,00000242.05,00000245.70,000000001794000,      243665100.00,           993000,              331,              312
FUTSTK    ,SBIN      ,30/03/2017,00000244.00,00000247.60,00000243.80,00000246.95,000000000054000,        7381650.00,            30000,              010,              010
FUTSTK    ,SIEMENS   ,25/01/2017,00001122.75,00001130.50,00001107.20,00001109.70,000000000728000,      364076800.00,           325000,              650,              606
FUTSTK    ,SIEMENS   ,23/02/2017,00001125.00,00001125.00,00001112.00,00001112.00,000000000003000,        4478925.00,             4000,              008,              008
FUTSTK    ,SINTEX    ,25/01/2017,00000075.75,00000081.85,00000075.30,00000081.35,000000025992000,     2151718650.00,         26797125,             3761,             3560
FUTSTK    ,SINTEX    ,23/02/2017,00000076.65,00000082.00,00000076.65,00000081.60,000000000256500,       26616862.50,           327750,              046,              046
FUTSTK    ,SOUTHBANK ,25/01/2017,00000019.75,00000020.05,00000019.65,00000019.95,000000042030000,      133708500.00,          6720000,              224,              205
FUTSTK    ,SOUTHBANK ,23/02/2017,00000020.00,00000020.05,00000020.00,00000020.00,000000000240000,        2400000.00,           120000,              004,              004
FUTSTK    ,SRF       ,25/01/2017,00001565.70,00001574.00,00001545.20,00001555.60,000000000427000,      615908275.00,           394500,              789,              746
FUTSTK    ,SRTRANSFIN,25/01/2017,00000891.00,00000909.20,00000881.60,00000893.50,000000003366600,     1424624880.00,          1590600,             2651,             2441
FUTSTK    ,STAR      ,25/01/2017,00001079.20,00001079.20,00001045.00,00001051.15,000000001567500,      630526125.00,           596500,             1193,             1132
FUTSTK    ,STAR      ,23/02/2017,00001060.05,00001060.05,00001053.75,00001053.75,000000000002000,        1584900.00,             1500,              003,              003
FUTSTK    ,SUNPHARMA ,25/01/2017,00000637.50,00000642.85,00000633.20,00000636.85,000000030347800,     2595190290.00,          4065600,             5808,             5300
FUTSTK    ,SUNPHARMA ,23/02/2017,00000638.85,00000645.80,00000637.00,00000639.65,000000000408800,       47948460.00,            74900,              107,              088
FUTSTK    ,SUNPHARMA ,30/03/2017,00000645.00,00000645.00,00000642.00,00000642.00,000000000002800,         900900.00,             1400,              002,              002
FUTSTK    ,SUNTV     ,25/01/2017,00000504.35,00000525.75,00000500.35,00000524.05,000000007804000,     7898227600.00,         15214000,             7607,             7010
FUTSTK    ,SUNTV     ,23/02/2017,00000511.00,00000524.95,00000511.00,00000524.25,000000000040000,       40614800.00,            78000,              039,              039
FUTSTK    ,SYNDIBANK ,25/01/2017,00000061.80,00000063.15,00000061.50,00000062.25,000000014283000,      343903050.00,          5517000,              613,              550
FUTSTK    ,SYNDIBANK ,23/02/2017,00000061.90,00000062.95,00000061.90,00000062.15,000000000306000,        5061150.00,            81000,              009,              009
FUTSTK    ,TATACHEM  ,25/01/2017,00000509.85,00000511.35,00000501.60,00000509.85,000000004045500,      867972600.00,          1711500,             1141,             1077
FUTSTK    ,TATACHEM  ,23/02/2017,00000507.10,00000507.10,00000505.30,00000506.50,000000000009000,        2278350.00,             4500,              003,              003
FUTSTK    ,TATACOMM  ,25/01/2017,00000632.95,00000635.00,00000623.40,00000628.20,000000004946200,      879365970.00,          1400000,             1000,              944
FUTSTK    ,TATAELXSI ,25/01/2017,00001425.75,00001425.75,00001398.00,00001404.50,000000001175600,      545025040.00,           387200,              968,              932
FUTSTK    ,TATAGLOBAL,25/01/2017,00000124.70,00000125.70,00000123.75,00000124.85,000000026347500,      319164300.00,          2560500,              569,              535
FUTSTK    ,TATAGLOBAL,23/02/2017,00000125.00,00000125.10,00000125.00,00000125.10,000000000139500,        1125450.00,             9000,              002,              002
FUTSTK    ,TATAMOTORS,25/01/2017,00000491.40,00000492.95,00000480.55,00000481.90,000000022792500,     7212576675.00,         14794500,             9863,             9137
FUTSTK    ,TATAMOTORS,23/02/2017,00000492.15,00000495.25,00000482.25,00000483.65,000000000153000,       55747875.00,           114000,              076,              076
FUTSTK    ,TATAMOTORS,30/03/2017,00000491.65,00000491.65,00000488.50,00000488.50,000000000001500,        2206875.00,             4500,              003,              003
FUTSTK    ,TATAMTRDVR,25/01/2017,00000311.60,00000312.35,00000307.00,00000308.50,000000015483300,     1012365375.00,          3269700,             1557,             1492
FUTSTK    ,TATAMTRDVR,23/02/2017,00000313.00,00000313.00,00000308.80,00000309.35,000000000031500,        9774240.00,            31500,              015,              015
FUTSTK    ,TATAPOWER ,25/01/2017,00000075.95,00000076.45,00000075.35,00000076.00,000000023355000,      388170000.00,          5112000,              568,              560
FUTSTK    ,TATAPOWER ,23/02/2017,00000076.40,00000076.50,00000075.90,00000076.50,000000000117000,        6171750.00,            81000,              009,              009
FUTSTK    ,TATASTEEL ,25/01/2017,00000407.45,00000409.40,00000401.60,00000403.95,000000021656000,     5747430600.00,         14188000,             7094,             6577
FUTSTK    ,TATASTEEL ,23/02/2017,00000409.20,00000410.50,00000403.55,00000405.40,000000000164000,       34160000.00,            84000,              042,              040
FUTSTK    ,TATASTEEL ,30/03/2017,00000404.35,00000404.35,00000404.35,00000404.35,000000000002000,         808700.00,             2000,              001,              001
FUTSTK    ,TCS       ,25/01/2017,00002356.00,00002366.40,00002340.70,00002363.15,000000004435750,     2219128875.00,           943000,             3772,             3566
FUTSTK    ,TCS       ,23/02/2017,00002350.20,00002369.90,00002350.00,00002368.05,000000000007000,        5898100.00,             2500,              010,              010
FUTSTK    ,TECHM     ,25/01/2017,00000491.80,00000495.70,00000488.00,00000491.80,000000007884800,      898150440.00,          1823800,             1658,             1578
FUTSTK    ,TECHM     ,23/02/2017,00000491.00,00000496.00,00000491.00,00000493.05,000000000022000,        5985870.00,            12100,              011,              011
FUTSTK    ,TITAN     ,25/01/2017,00000341.50,00000354.70,00000340.00,00000348.90,000000009480000,     2573403825.00,          7363500,             4909,             4609
FUTSTK    ,TITAN     ,23/02/2017,00000342.20,00000352.20,00000342.20,00000348.00,000000000025500,        8369400.00,            24000,              016,              016
FUTSTK    ,TORNTPHARM,25/01/2017,00001319.80,00001353.00,00001312.00,00001342.90,000000000187600,      249015480.00,           186000,              465,              459
FUTSTK    ,TORNTPHARM,23/02/2017,00000000.00,00000000.00,00000000.00,00001315.35,000000000006800,        1071340.00,              800,              002,              002
FUTSTK    ,TORNTPOWER,25/01/2017,00000178.45,00000179.05,00000177.05,00000178.50,000000002484000,       98422650.00,           552000,              184,              163
FUTSTK    ,TV18BRDCST,25/01/2017,00000037.15,00000037.60,00000036.90,00000037.30,000000080325000,      223278000.00,          5984000,              352,              339
FUTSTK    ,TV18BRDCST,23/02/2017,00000037.20,00000037.80,00000037.20,00000037.45,000000000289000,        4457400.00,           119000,              007,              007
FUTSTK    ,TVSMOTOR  ,25/01/2017,00000354.70,00000366.55,00000350.35,00000364.90,000000007384000,     2630572500.00,          7296000,             3648,             3473
FUTSTK    ,TVSMOTOR  ,23/02/2017,00000348.30,00000360.55,00000348.30,00000359.25,000000000252000,       69417600.00,           194000,              097,              096
FUTSTK    ,UBL       ,25/01/2017,00000786.95,00000791.95,00000777.25,00000788.95,000000001023400,      201752425.00,           256200,              366,              357
FUTSTK    ,ULTRACEMCO,25/01/2017,00003352.00,00003361.45,00003306.80,00003313.70,000000002537200,     2184292370.00,           654400,             3272,             2924
FUTSTK    ,ULTRACEMCO,23/02/2017,00003354.95,00003364.05,00003306.75,00003312.35,000000000024800,      110836870.00,            33200,              166,              158
