INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,CE      ,00001740.00,00001784.00,00001740.00,00001774.20,000000000357825,            25275,              337,              153,      208808167.50,       44520667.50
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,PE      ,00000000.45,00000000.55,00000000.45,00000000.45,000000000127200,            34650,              462,              100,      225242130.00,          17130.00
OPTIDX    ,NIFTY     ,25/01/2017,00006700.00,PE      ,00000000.20,00000001.00,00000000.20,00000001.00,000000000000375,              375,              005,              003,        2512702.50,            202.50
OPTIDX    ,NIFTY     ,25/01/2017,00006900.00,PE      ,00000000.75,00000000.75,00000000.75,00000000.75,000000000002400,             1500,              020,              001,       10351125.00,           1125.00
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,CE      ,00001230.00,00001289.70,00001230.00,00001278.85,000000001135275,            44475,              593,              318,      367668941.25,       56343941.25
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,PE      ,00000001.25,00000001.55,00000001.10,00000001.15,000000001303200,           175275,             2337,              857,     1227144667.50,         219667.50
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,CE      ,00001194.75,00001229.10,00001194.75,00001225.10,000000000091875,             1275,              017,              011,       10543848.75,        1555098.75
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,PE      ,00000001.75,00000001.75,00000001.00,00000001.55,000000000074175,             3525,              047,              023,       24856488.75,           5238.75
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,CE      ,00001142.00,00001170.00,00001142.00,00001170.00,000000000248775,             1350,              018,              013,       11140207.50,        1555207.50
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,PE      ,00000001.50,00000001.70,00000001.25,00000001.35,000000000293325,            55200,              736,              427,      391999593.75,          79593.75
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,CE      ,00001050.00,00001081.70,00001050.00,00001081.70,000000000109500,              675,              009,              008,        5578695.00,         718695.00
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,PE      ,00000001.75,00000002.10,00000001.50,00000001.60,000000000608250,           217050,             2894,              834,     1563147258.75,         387258.75
OPTIDX    ,NIFTY     ,25/01/2017,00007300.00,CE      ,00000915.90,00000990.25,00000915.70,00000976.45,000000000063000,            79200,             1056,              346,      654270146.25,       76110146.25
OPTIDX    ,NIFTY     ,25/01/2017,00007300.00,PE      ,00000001.40,00000002.85,00000001.40,00000002.00,000000000738675,           396750,             5290,             2135,     2897159400.00,         884400.00
OPTIDX    ,NIFTY     ,25/01/2017,00007400.00,CE      ,00000835.00,00000886.00,00000835.00,00000876.55,000000000378750,            11850,              158,              091,       98050935.00,       10360935.00
OPTIDX    ,NIFTY     ,25/01/2017,00007400.00,PE      ,00000003.90,00000003.90,00000002.55,00000002.70,000000000880425,           817875,            10905,             3297,     6054679586.25,        2404586.25
OPTIDX    ,NIFTY     ,25/01/2017,00007450.00,PE      ,00000003.35,00000003.35,00000003.35,00000003.35,000000000001200,              150,              002,              001,        1118002.50,            502.50
OPTIDX    ,NIFTY     ,25/01/2017,00007500.00,CE      ,00000739.00,00000793.75,00000734.70,00000784.75,000000000743025,           125775,             1677,              811,     1040449620.00,       97137120.00
OPTIDX    ,NIFTY     ,25/01/2017,00007500.00,PE      ,00000005.05,00000005.80,00000003.75,00000004.05,000000003045150,          2389950,            31866,             6602,    17935144353.75,       10519353.75
OPTIDX    ,NIFTY     ,25/01/2017,00007550.00,PE      ,00000004.80,00000005.25,00000004.25,00000004.50,000000000017100,            10350,              138,              035,       78190305.00,          47805.00
OPTIDX    ,NIFTY     ,25/01/2017,00007600.00,CE      ,00000653.75,00000693.00,00000653.75,00000684.15,000000000253200,            14025,              187,              116,      116121296.25,        9531296.25
OPTIDX    ,NIFTY     ,25/01/2017,00007600.00,PE      ,00000008.05,00000008.50,00000004.95,00000005.55,000000001929900,          2123775,            28317,             7712,    16153661857.50,       12971857.50
OPTIDX    ,NIFTY     ,25/01/2017,00007650.00,PE      ,00000011.00,00000011.00,00000006.25,00000006.70,000000000023475,            17625,              235,              070,      134955315.00,         124065.00
OPTIDX    ,NIFTY     ,25/01/2017,00007700.00,CE      ,00000550.00,00000599.00,00000550.00,00000592.30,000000000405000,            14775,              197,              105,      122231036.25,        8463536.25
OPTIDX    ,NIFTY     ,25/01/2017,00007700.00,PE      ,00000010.30,00000012.85,00000007.30,00000007.95,000000002036550,          3824325,            50991,            13926,    29481517440.00,       34214940.00
OPTIDX    ,NIFTY     ,25/01/2017,00007750.00,CE      ,00000511.40,00000511.40,00000511.40,00000511.40,000000000000225,              150,              002,              001,        1239210.00,          76710.00
OPTIDX    ,NIFTY     ,25/01/2017,00007750.00,PE      ,00000014.75,00000015.00,00000009.00,00000009.60,000000000098025,            97425,             1299,              563,      756094451.25,        1050701.25
OPTIDX    ,NIFTY     ,25/01/2017,00007800.00,CE      ,00000456.35,00000504.25,00000450.00,00000496.60,000000000591525,           126000,             1680,              857,     1043353166.25,       60553166.25
OPTIDX    ,NIFTY     ,25/01/2017,00007800.00,PE      ,00000018.95,00000018.95,00000011.40,00000012.20,000000003173700,          5037900,            67172,            21099,    39363922380.00,       68302380.00
OPTIDX    ,NIFTY     ,25/01/2017,00007850.00,CE      ,00000418.90,00000418.90,00000418.90,00000418.90,000000000000600,              150,              002,              001,        1240335.00,          62835.00
