The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,YESBANK   ,25/01/2017,    13658153635.00,            16262
2         ,JUSTDIAL  ,25/01/2017,     6462206820.00,            14142
3         ,TATASTEEL ,25/01/2017,    11717178900.00,            14052
4         ,VEDL      ,25/01/2017,    10865736000.00,            13799
5         ,TATAMOTORS,25/01/2017,     9945210750.00,            13238
6         ,SBIN      ,25/01/2017,     9019482450.00,            12236
7         ,ICICIBANK ,25/01/2017,     7541472000.00,            11768
8         ,MARUTI    ,25/01/2017,     9032163690.00,            10747
9         ,HDFCBANK  ,25/01/2017,     6242724525.00,            10488
10        ,INFY      ,25/01/2017,     5048819825.00,            10058
The top ten contracts contributed to around  26% of the total traded volume in Futures on individual securities.YESBANK was the most active future contracts on individual securities traded today with 16463 contracts and JUSTDIAL was the next most active futures contracts with 14446 contracts being traded.                                                                                                                                                                                                  
