Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           173825,          11522.21
Stock Futures  ,           454393,          29579.22
Index Options  ,          3635690,         252394.46
Stock Options  ,           241122,          16369.49
Vol Futures    ,              000,              0.00
F&O Total      ,          4505030,         309865.38
