CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTIRC684GS202225-JAN-2017,101.84,0,0,0,,101.8525,.01,0,0,0,0
FUTIRC684GS202223-FEB-2017,101.81,0,0,0,,101.8225,.01,0,0,0,0
FUTIRC684GS202230-MAR-2017,101.765,0,0,0,,101.775,0,0,0,0,0
FUTIRC684GS202229-JUN-2017,101.595,0,0,0,,101.6125,.01,0,0,0,0
FUTIRC684GS202228-SEP-2017,101.4225,0,0,0,,101.4425,.01,0,0,0,0
FUTIRC684GS202228-DEC-2017,101.21,0,0,0,,101.2425,.03,0,0,0,0
FUTIRC697GS202625-JAN-2017,104.095,0,0,0,,104.0125,-.07,14312,0,0,0
FUTIRC697GS202623-FEB-2017,104.075,0,0,0,,103.9925,-.07,9278,0,0,0
FUTIRC697GS202630-MAR-2017,104.0275,0,0,0,,103.9425,-.08,6572,0,0,0
FUTIRC697GS202629-JUN-2017,103.8425,0,0,0,,103.765,-.07,2250,0,0,0
FUTIRC697GS202628-SEP-2017,103.6875,0,0,0,,103.6125,-.07,0,0,0,0
FUTIRC697GS202628-DEC-2017,103.46,0,0,0,,103.395,-.06,0,0,0,0
FUTIRC759GS202625-JAN-2017,106.93,106.85,106.885,106.72,106.8525,106.8525,-.07,106170,18515,18515,3955226545
FUTIRC759GS202623-FEB-2017,106.965,0,0,0,,106.915,-.04,500,0,0,0
FUTIRC759GS202630-MAR-2017,106.8775,0,0,0,,106.825,-.04,0,0,0,0
FUTIRC759GS202629-JUN-2017,106.6,0,0,0,,106.555,-.04,0,0,0,0
FUTIRC759GS202628-SEP-2017,106.315,0,0,0,,106.2725,-.03,0,0,0,0
FUTIRC759GS202628-DEC-2017,105.9875,0,0,0,,105.9575,-.02,0,0,0,0
FUTIRC759GS202925-JAN-2017,106.5675,0,0,0,,106.5575,0,0,0,0,0
FUTIRC759GS202923-FEB-2017,106.51,0,0,0,,106.5,0,0,0,0,0
FUTIRC759GS202930-MAR-2017,106.4275,0,0,0,,106.415,-.01,0,0,0,0
FUTIRC759GS202929-JUN-2017,106.1175,0,0,0,,106.1125,0,0,0,0,0
FUTIRC759GS202928-SEP-2017,105.85,0,0,0,,105.8475,0,0,0,0,0
FUTIRC759GS202928-DEC-2017,105.4925,0,0,0,,105.505,.01,0,0,0,0
FUTIRC761GS203025-JAN-2017,107.64,0,0,0,,107.5425,-.09,10200,0,0,0
FUTIRC761GS203023-FEB-2017,107.5825,0,0,0,,107.4825,-.09,0,0,0,0
FUTIRC761GS203030-MAR-2017,107.505,0,0,0,,107.4025,-.09,0,0,0,0
FUTIRC761GS203029-JUN-2017,107.2175,0,0,0,,107.12,-.09,0,0,0,0
FUTIRC761GS203028-SEP-2017,106.95,0,0,0,,106.855,-.08,0,0,0,0
FUTIRC761GS203028-DEC-2017,106.615,0,0,0,,106.5325,-.07,0,0,0,0
FUTIRC768GS202325-JAN-2017,106.1225,0,0,0,,106.045,-.07,0,0,0,0
FUTIRC768GS202323-FEB-2017,106.045,0,0,0,,105.9675,-.07,0,0,0,0
FUTIRC768GS202330-MAR-2017,105.9475,0,0,0,,105.8675,-.07,0,0,0,0
FUTIRC768GS202329-JUN-2017,105.6325,0,0,0,,105.5575,-.07,0,0,0,0
FUTIRC768GS202328-SEP-2017,105.3125,0,0,0,,105.24,-.06,0,0,0,0
FUTIRC768GS202328-DEC-2017,104.9475,0,0,0,,104.8875,-.05,0,0,0,0
FUTIRC772GS202525-JAN-2017,106.7525,0,0,0,,106.64,-.1,0,0,0,0
FUTIRC772GS202523-FEB-2017,106.6775,0,0,0,,106.5625,-.1,0,0,0,0
FUTIRC772GS202530-MAR-2017,106.5825,0,0,0,,106.4675,-.1,0,0,0,0
FUTIRC788GS203025-JAN-2017,108.6025,0,0,0,,108.6,0,25075,0,0,0
FUTIRC788GS203023-FEB-2017,108.5325,0,0,0,,108.53,0,6250,0,0,0
FUTIRC788GS203030-MAR-2017,108.435,0,0,0,,108.43,0,5000,0,0,0
FUTIRC788GS203029-JUN-2017,108.085,0,0,0,,108.0875,0,0,0,0,0
FUTIRC788GS203028-SEP-2017,107.775,0,0,0,,107.78,0,0,0,0,0
FUTIRC788GS203028-DEC-2017,107.3725,0,0,0,,107.3925,.01,0,0,0,0
FUTIRT91DTB25-JAN-2017,98.51055,0,0,0,,98.508925,0,0,0,0,0
FUTIRT91DTB22-FEB-2017,98.530675,0,0,0,,98.52525,0,0,0,0,0
FUTIRT91DTB29-MAR-2017,98.563425,0,0,0,,98.55265,-.01,0,0,0,0
FUTIRT91DTB28-JUN-2017,98.6214,0,0,0,,98.627725,0,0,0,0,0
