CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTIRC684GS202225-JAN-2017,102.05,0,0,0,,102.06,0,0,0,0,0
FUTIRC684GS202223-FEB-2017,102.0175,0,0,0,,102.0275,0,0,0,0,0
FUTIRC684GS202230-MAR-2017,101.9875,0,0,0,,101.9925,0,0,0,0,0
FUTIRC684GS202229-JUN-2017,101.815,0,0,0,,101.8225,0,0,0,0,0
FUTIRC684GS202228-SEP-2017,101.6475,0,0,0,,101.645,0,0,0,0,0
FUTIRC684GS202228-DEC-2017,101.4525,0,0,0,,101.435,-.01,0,0,0,0
FUTIRC697GS202625-JAN-2017,103.9275,104.16,104.3,103.65,103.65,103.65,-.26,14312,255,255,53190120
FUTIRC697GS202623-FEB-2017,103.905,0,0,0,,103.925,.01,9278,0,0,0
FUTIRC697GS202630-MAR-2017,103.8725,0,0,0,,103.8825,0,6572,0,0,0
FUTIRC697GS202629-JUN-2017,103.6775,0,0,0,,103.6925,.01,2250,0,0,0
FUTIRC697GS202628-SEP-2017,103.5225,0,0,0,,103.53,0,0,0,0,0
FUTIRC697GS202628-DEC-2017,103.305,0,0,0,,103.2975,0,0,0,0,0
FUTIRC759GS202625-JAN-2017,106.905,107.17,107.8675,106.65,106.715,106.715,-.17,100270,137406,137406,29490846415
FUTIRC759GS202623-FEB-2017,106.935,107.49,107.49,107.49,107.49,106.935,0,500,500,500,107490000
FUTIRC759GS202630-MAR-2017,106.865,0,0,0,,106.8575,0,0,0,0,0
FUTIRC759GS202629-JUN-2017,106.5775,0,0,0,,106.5725,0,0,0,0,0
FUTIRC759GS202628-SEP-2017,106.2975,0,0,0,,106.2825,-.01,0,0,0,0
FUTIRC759GS202628-DEC-2017,105.9825,0,0,0,,105.9525,-.02,0,0,0,0
FUTIRC759GS202925-JAN-2017,106.7525,0,0,0,,106.5525,-.18,0,0,0,0
FUTIRC759GS202923-FEB-2017,106.695,0,0,0,,106.4925,-.18,0,0,0,0
FUTIRC759GS202930-MAR-2017,106.6275,0,0,0,,106.4175,-.19,0,0,0,0
FUTIRC759GS202929-JUN-2017,106.315,0,0,0,,106.105,-.19,0,0,0,0
FUTIRC759GS202928-SEP-2017,106.0525,0,0,0,,105.83,-.2,0,0,0,0
FUTIRC759GS202928-DEC-2017,105.7125,0,0,0,,105.47,-.22,0,0,0,0
FUTIRC761GS203025-JAN-2017,107.675,0,0,0,,107.61,-.06,10200,0,0,0
FUTIRC761GS203023-FEB-2017,107.6125,0,0,0,,107.55,-.05,0,0,0,0
FUTIRC761GS203030-MAR-2017,107.55,0,0,0,,107.48,-.06,0,0,0,0
FUTIRC761GS203029-JUN-2017,107.2575,0,0,0,,107.1875,-.06,0,0,0,0
FUTIRC761GS203028-SEP-2017,106.995,0,0,0,,106.915,-.07,0,0,0,0
FUTIRC761GS203028-DEC-2017,106.6725,0,0,0,,106.5775,-.08,0,0,0,0
FUTIRC768GS202325-JAN-2017,106.34,0,0,0,,106.23,-.1,0,0,0,0
FUTIRC768GS202323-FEB-2017,106.2625,0,0,0,,106.15,-.1,0,0,0,0
FUTIRC768GS202330-MAR-2017,106.18,0,0,0,,106.0625,-.11,0,0,0,0
FUTIRC768GS202329-JUN-2017,105.86,0,0,0,,105.745,-.1,0,0,0,0
FUTIRC768GS202328-SEP-2017,105.5475,0,0,0,,105.42,-.12,0,0,0,0
FUTIRC768GS202328-DEC-2017,105.2,0,0,0,,105.0575,-.13,0,0,0,0
FUTIRC772GS202525-JAN-2017,106.8375,0,0,0,,106.87,.03,0,0,0,0
FUTIRC772GS202523-FEB-2017,106.76,0,0,0,,106.795,.03,0,0,0,0
FUTIRC772GS202530-MAR-2017,106.6825,0,0,0,,106.71,.02,0,0,0,0
FUTIRC788GS203025-JAN-2017,109.005,109,110,108.24,108.4,108.4,-.55,25203,11477,11477,2504244820
FUTIRC788GS203023-FEB-2017,108.7825,109.755,109.89,109.755,108.395,108.395,-.35,6250,550,550,120789150
FUTIRC788GS203030-MAR-2017,108.7025,0,0,0,,108.51,-.17,5000,0,0,0
FUTIRC788GS203029-JUN-2017,108.3475,0,0,0,,108.155,-.17,0,0,0,0
FUTIRC788GS203028-SEP-2017,108.045,0,0,0,,107.84,-.18,0,0,0,0
FUTIRC788GS203028-DEC-2017,107.6625,0,0,0,,107.4375,-.2,0,0,0,0
FUTIRT91DTB25-JAN-2017,98.521175,0,0,0,,98.524825,0,0,0,0,0
FUTIRT91DTB22-FEB-2017,98.538275,0,0,0,,98.5407,0,0,0,0,0
FUTIRT91DTB29-MAR-2017,98.557625,0,0,0,,98.562025,0,0,0,0,0
FUTIRT91DTB28-JUN-2017,98.600025,0,0,0,,98.610375,.01,0,0,0,0
