DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-JAN-2017,FUTCUR,EURINR,27-JAN-2017,72.3750000
10-JAN-2017,FUTCUR,EURINR,23-FEB-2017,72.7050000
10-JAN-2017,FUTCUR,EURINR,29-MAR-2017,73.1875000
10-JAN-2017,FUTCUR,EURINR,26-APR-2017,73.5525000
10-JAN-2017,FUTCUR,EURINR,29-MAY-2017,73.9500000
10-JAN-2017,FUTCUR,EURINR,28-JUN-2017,74.3400000
10-JAN-2017,FUTCUR,EURINR,27-JUL-2017,74.7175000
10-JAN-2017,FUTCUR,EURINR,29-AUG-2017,75.1350000
10-JAN-2017,FUTCUR,EURINR,27-SEP-2017,75.5150000
10-JAN-2017,FUTCUR,EURINR,27-OCT-2017,75.9100000
10-JAN-2017,FUTCUR,EURINR,28-NOV-2017,76.3325000
10-JAN-2017,FUTCUR,EURINR,27-DEC-2017,76.7200000
10-JAN-2017,FUTCUR,GBPINR,27-JAN-2017,83.1200000
10-JAN-2017,FUTCUR,GBPINR,23-FEB-2017,83.4875000
10-JAN-2017,FUTCUR,GBPINR,29-MAR-2017,83.8250000
10-JAN-2017,FUTCUR,GBPINR,26-APR-2017,84.2500000
10-JAN-2017,FUTCUR,GBPINR,29-MAY-2017,84.6325000
10-JAN-2017,FUTCUR,GBPINR,28-JUN-2017,85.0225000
10-JAN-2017,FUTCUR,GBPINR,27-JUL-2017,85.4025000
10-JAN-2017,FUTCUR,GBPINR,29-AUG-2017,85.7650000
10-JAN-2017,FUTCUR,GBPINR,27-SEP-2017,86.1400000
10-JAN-2017,FUTCUR,GBPINR,27-OCT-2017,86.5300000
10-JAN-2017,FUTCUR,GBPINR,28-NOV-2017,86.9450000
10-JAN-2017,FUTCUR,GBPINR,27-DEC-2017,87.3250000
10-JAN-2017,FUTCUR,JPYINR,27-JAN-2017,58.9525000
10-JAN-2017,FUTCUR,JPYINR,23-FEB-2017,59.2400000
10-JAN-2017,FUTCUR,JPYINR,29-MAR-2017,59.4500000
10-JAN-2017,FUTCUR,JPYINR,26-APR-2017,59.8975000
10-JAN-2017,FUTCUR,JPYINR,29-MAY-2017,60.2175000
10-JAN-2017,FUTCUR,JPYINR,28-JUN-2017,60.5200000
10-JAN-2017,FUTCUR,JPYINR,27-JUL-2017,60.8150000
10-JAN-2017,FUTCUR,JPYINR,29-AUG-2017,61.1575000
10-JAN-2017,FUTCUR,JPYINR,27-SEP-2017,61.4550000
10-JAN-2017,FUTCUR,JPYINR,27-OCT-2017,61.7650000
10-JAN-2017,FUTCUR,JPYINR,28-NOV-2017,62.0975000
10-JAN-2017,FUTCUR,JPYINR,27-DEC-2017,62.4025000
10-JAN-2017,FUTCUR,USDINR,27-JAN-2017,68.3300000
10-JAN-2017,FUTCUR,USDINR,23-FEB-2017,68.5650000
10-JAN-2017,FUTCUR,USDINR,29-MAR-2017,68.8150000
10-JAN-2017,FUTCUR,USDINR,26-APR-2017,69.0975000
10-JAN-2017,FUTCUR,USDINR,29-MAY-2017,69.2900000
10-JAN-2017,FUTCUR,USDINR,28-JUN-2017,69.4900000
10-JAN-2017,FUTCUR,USDINR,27-JUL-2017,69.9825000
10-JAN-2017,FUTCUR,USDINR,29-AUG-2017,70.1775000
10-JAN-2017,FUTCUR,USDINR,27-SEP-2017,70.4325000
10-JAN-2017,FUTCUR,USDINR,27-OCT-2017,70.2050000
10-JAN-2017,FUTCUR,USDINR,28-NOV-2017,70.9800000
10-JAN-2017,FUTCUR,USDINR,27-DEC-2017,70.6925000
10-JAN-2017,OPTCUR,USDINR,,68.1800000
