DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
05-JAN-2017,FUTCUR,EURINR,27-JAN-2017,71.5375000
05-JAN-2017,FUTCUR,EURINR,23-FEB-2017,71.8275000
05-JAN-2017,FUTCUR,EURINR,29-MAR-2017,72.1000000
05-JAN-2017,FUTCUR,EURINR,26-APR-2017,72.6300000
05-JAN-2017,FUTCUR,EURINR,29-MAY-2017,73.0525000
05-JAN-2017,FUTCUR,EURINR,28-JUN-2017,73.4150000
05-JAN-2017,FUTCUR,EURINR,27-JUL-2017,73.7650000
05-JAN-2017,FUTCUR,EURINR,29-AUG-2017,74.2350000
05-JAN-2017,FUTCUR,EURINR,27-SEP-2017,74.5975000
05-JAN-2017,FUTCUR,EURINR,27-OCT-2017,74.9775000
05-JAN-2017,FUTCUR,EURINR,28-NOV-2017,75.3825000
05-JAN-2017,FUTCUR,EURINR,27-DEC-2017,75.7500000
05-JAN-2017,FUTCUR,GBPINR,27-JAN-2017,83.8825000
05-JAN-2017,FUTCUR,GBPINR,23-FEB-2017,84.2300000
05-JAN-2017,FUTCUR,GBPINR,29-MAR-2017,84.6250000
05-JAN-2017,FUTCUR,GBPINR,26-APR-2017,84.9625000
05-JAN-2017,FUTCUR,GBPINR,29-MAY-2017,85.3825000
05-JAN-2017,FUTCUR,GBPINR,28-JUN-2017,85.7500000
05-JAN-2017,FUTCUR,GBPINR,27-JUL-2017,86.1075000
05-JAN-2017,FUTCUR,GBPINR,29-AUG-2017,86.5400000
05-JAN-2017,FUTCUR,GBPINR,27-SEP-2017,86.9025000
05-JAN-2017,FUTCUR,GBPINR,27-OCT-2017,87.2825000
05-JAN-2017,FUTCUR,GBPINR,28-NOV-2017,87.6875000
05-JAN-2017,FUTCUR,GBPINR,27-DEC-2017,88.0550000
05-JAN-2017,FUTCUR,JPYINR,27-JAN-2017,58.4675000
05-JAN-2017,FUTCUR,JPYINR,23-FEB-2017,58.7175000
05-JAN-2017,FUTCUR,JPYINR,29-MAR-2017,59.0000000
05-JAN-2017,FUTCUR,JPYINR,26-APR-2017,59.3175000
05-JAN-2017,FUTCUR,JPYINR,29-MAY-2017,59.6600000
05-JAN-2017,FUTCUR,JPYINR,28-JUN-2017,59.9425000
05-JAN-2017,FUTCUR,JPYINR,27-JUL-2017,60.2175000
05-JAN-2017,FUTCUR,JPYINR,29-AUG-2017,60.6000000
05-JAN-2017,FUTCUR,JPYINR,27-SEP-2017,60.8850000
05-JAN-2017,FUTCUR,JPYINR,27-OCT-2017,61.1825000
05-JAN-2017,FUTCUR,JPYINR,28-NOV-2017,61.5025000
05-JAN-2017,FUTCUR,JPYINR,27-DEC-2017,61.7925000
05-JAN-2017,FUTCUR,USDINR,27-JAN-2017,68.1150000
05-JAN-2017,FUTCUR,USDINR,23-FEB-2017,68.3400000
05-JAN-2017,FUTCUR,USDINR,29-MAR-2017,68.5800000
05-JAN-2017,FUTCUR,USDINR,26-APR-2017,68.8350000
05-JAN-2017,FUTCUR,USDINR,29-MAY-2017,69.0400000
05-JAN-2017,FUTCUR,USDINR,28-JUN-2017,69.2250000
05-JAN-2017,FUTCUR,USDINR,27-JUL-2017,69.6675000
05-JAN-2017,FUTCUR,USDINR,29-AUG-2017,69.9100000
05-JAN-2017,FUTCUR,USDINR,27-SEP-2017,70.1525000
05-JAN-2017,FUTCUR,USDINR,27-OCT-2017,70.1000000
05-JAN-2017,FUTCUR,USDINR,28-NOV-2017,70.2950000
05-JAN-2017,FUTCUR,USDINR,27-DEC-2017,70.5000000
05-JAN-2017,OPTCUR,USDINR,,67.9600000
