DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JAN-2017,FUTCUR,EURINR,27-JAN-2017,71.7425000
02-JAN-2017,FUTCUR,EURINR,23-FEB-2017,72.0200000
02-JAN-2017,FUTCUR,EURINR,29-MAR-2017,72.3000000
02-JAN-2017,FUTCUR,EURINR,26-APR-2017,72.3400000
02-JAN-2017,FUTCUR,EURINR,29-MAY-2017,73.2800000
02-JAN-2017,FUTCUR,EURINR,28-JUN-2017,73.6450000
02-JAN-2017,FUTCUR,EURINR,27-JUL-2017,74.0025000
02-JAN-2017,FUTCUR,EURINR,29-AUG-2017,74.4925000
02-JAN-2017,FUTCUR,EURINR,27-SEP-2017,74.8625000
02-JAN-2017,FUTCUR,EURINR,27-OCT-2017,75.2475000
02-JAN-2017,FUTCUR,EURINR,28-NOV-2017,75.6600000
02-JAN-2017,FUTCUR,EURINR,27-DEC-2017,76.0350000
02-JAN-2017,FUTCUR,GBPINR,27-JAN-2017,84.1300000
02-JAN-2017,FUTCUR,GBPINR,23-FEB-2017,84.4875000
02-JAN-2017,FUTCUR,GBPINR,29-MAR-2017,84.9350000
02-JAN-2017,FUTCUR,GBPINR,26-APR-2017,85.2800000
02-JAN-2017,FUTCUR,GBPINR,29-MAY-2017,85.6975000
02-JAN-2017,FUTCUR,GBPINR,28-JUN-2017,86.0700000
02-JAN-2017,FUTCUR,GBPINR,27-JUL-2017,86.4350000
02-JAN-2017,FUTCUR,GBPINR,29-AUG-2017,86.8850000
02-JAN-2017,FUTCUR,GBPINR,27-SEP-2017,87.2575000
02-JAN-2017,FUTCUR,GBPINR,27-OCT-2017,87.6425000
02-JAN-2017,FUTCUR,GBPINR,28-NOV-2017,88.0550000
02-JAN-2017,FUTCUR,GBPINR,27-DEC-2017,88.4325000
02-JAN-2017,FUTCUR,JPYINR,27-JAN-2017,58.3925000
02-JAN-2017,FUTCUR,JPYINR,23-FEB-2017,58.6825000
02-JAN-2017,FUTCUR,JPYINR,29-MAR-2017,58.9125000
02-JAN-2017,FUTCUR,JPYINR,26-APR-2017,59.1725000
02-JAN-2017,FUTCUR,JPYINR,29-MAY-2017,59.5075000
02-JAN-2017,FUTCUR,JPYINR,28-JUN-2017,59.7925000
02-JAN-2017,FUTCUR,JPYINR,27-JUL-2017,60.0700000
02-JAN-2017,FUTCUR,JPYINR,29-AUG-2017,60.4625000
02-JAN-2017,FUTCUR,JPYINR,27-SEP-2017,60.7525000
02-JAN-2017,FUTCUR,JPYINR,27-OCT-2017,61.0550000
02-JAN-2017,FUTCUR,JPYINR,28-NOV-2017,61.3775000
02-JAN-2017,FUTCUR,JPYINR,27-DEC-2017,61.6725000
02-JAN-2017,FUTCUR,USDINR,27-JAN-2017,68.3775000
02-JAN-2017,FUTCUR,USDINR,23-FEB-2017,68.5975000
02-JAN-2017,FUTCUR,USDINR,29-MAR-2017,68.8125000
02-JAN-2017,FUTCUR,USDINR,26-APR-2017,69.0475000
02-JAN-2017,FUTCUR,USDINR,29-MAY-2017,69.2575000
02-JAN-2017,FUTCUR,USDINR,28-JUN-2017,69.4600000
02-JAN-2017,FUTCUR,USDINR,27-JUL-2017,69.6400000
02-JAN-2017,FUTCUR,USDINR,29-AUG-2017,69.7600000
02-JAN-2017,FUTCUR,USDINR,27-SEP-2017,70.0200000
02-JAN-2017,FUTCUR,USDINR,27-OCT-2017,70.2325000
02-JAN-2017,FUTCUR,USDINR,28-NOV-2017,70.4675000
02-JAN-2017,FUTCUR,USDINR,27-DEC-2017,70.6925000
02-JAN-2017,OPTCUR,USDINR,,68.2250000
