DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
11-JAN-2017,FUTCUR,EURINR,27-JAN-2017,72.0800000
11-JAN-2017,FUTCUR,EURINR,23-FEB-2017,72.4200000
11-JAN-2017,FUTCUR,EURINR,29-MAR-2017,72.6600000
11-JAN-2017,FUTCUR,EURINR,26-APR-2017,73.2500000
11-JAN-2017,FUTCUR,EURINR,29-MAY-2017,73.6450000
11-JAN-2017,FUTCUR,EURINR,28-JUN-2017,74.0325000
11-JAN-2017,FUTCUR,EURINR,27-JUL-2017,74.4075000
11-JAN-2017,FUTCUR,EURINR,29-AUG-2017,74.8250000
11-JAN-2017,FUTCUR,EURINR,27-SEP-2017,75.2050000
11-JAN-2017,FUTCUR,EURINR,27-OCT-2017,75.6000000
11-JAN-2017,FUTCUR,EURINR,28-NOV-2017,76.0225000
11-JAN-2017,FUTCUR,EURINR,27-DEC-2017,76.4075000
11-JAN-2017,FUTCUR,GBPINR,27-JAN-2017,83.1925000
11-JAN-2017,FUTCUR,GBPINR,23-FEB-2017,83.5400000
11-JAN-2017,FUTCUR,GBPINR,29-MAR-2017,83.9100000
11-JAN-2017,FUTCUR,GBPINR,26-APR-2017,84.3500000
11-JAN-2017,FUTCUR,GBPINR,29-MAY-2017,84.7300000
11-JAN-2017,FUTCUR,GBPINR,28-JUN-2017,85.1225000
11-JAN-2017,FUTCUR,GBPINR,27-JUL-2017,85.5025000
11-JAN-2017,FUTCUR,GBPINR,29-AUG-2017,85.8675000
11-JAN-2017,FUTCUR,GBPINR,27-SEP-2017,86.2425000
11-JAN-2017,FUTCUR,GBPINR,27-OCT-2017,86.6325000
11-JAN-2017,FUTCUR,GBPINR,28-NOV-2017,87.0500000
11-JAN-2017,FUTCUR,GBPINR,27-DEC-2017,87.4325000
11-JAN-2017,FUTCUR,JPYINR,27-JAN-2017,58.9200000
11-JAN-2017,FUTCUR,JPYINR,23-FEB-2017,59.2075000
11-JAN-2017,FUTCUR,JPYINR,29-MAR-2017,59.5600000
11-JAN-2017,FUTCUR,JPYINR,26-APR-2017,59.8450000
11-JAN-2017,FUTCUR,JPYINR,29-MAY-2017,60.1625000
11-JAN-2017,FUTCUR,JPYINR,28-JUN-2017,60.4650000
11-JAN-2017,FUTCUR,JPYINR,27-JUL-2017,60.7600000
11-JAN-2017,FUTCUR,JPYINR,29-AUG-2017,61.1025000
11-JAN-2017,FUTCUR,JPYINR,27-SEP-2017,61.4000000
11-JAN-2017,FUTCUR,JPYINR,27-OCT-2017,61.7125000
11-JAN-2017,FUTCUR,JPYINR,28-NOV-2017,62.0450000
11-JAN-2017,FUTCUR,JPYINR,27-DEC-2017,62.3475000
11-JAN-2017,FUTCUR,USDINR,27-JAN-2017,68.4625000
11-JAN-2017,FUTCUR,USDINR,23-FEB-2017,68.7125000
11-JAN-2017,FUTCUR,USDINR,29-MAR-2017,68.9650000
11-JAN-2017,FUTCUR,USDINR,26-APR-2017,69.2450000
11-JAN-2017,FUTCUR,USDINR,29-MAY-2017,69.4300000
11-JAN-2017,FUTCUR,USDINR,28-JUN-2017,69.6025000
11-JAN-2017,FUTCUR,USDINR,27-JUL-2017,69.7550000
11-JAN-2017,FUTCUR,USDINR,29-AUG-2017,70.3225000
11-JAN-2017,FUTCUR,USDINR,27-SEP-2017,70.5775000
11-JAN-2017,FUTCUR,USDINR,27-OCT-2017,70.3900000
11-JAN-2017,FUTCUR,USDINR,28-NOV-2017,70.6200000
11-JAN-2017,FUTCUR,USDINR,27-DEC-2017,70.8075000
11-JAN-2017,OPTCUR,USDINR,,68.3250000
