DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
03-JAN-2017,FUTIRC,684GS2022,25-JAN-2017,102.0600000
03-JAN-2017,FUTIRC,684GS2022,23-FEB-2017,102.0275000
03-JAN-2017,FUTIRC,684GS2022,30-MAR-2017,101.9925000
03-JAN-2017,FUTIRC,684GS2022,29-JUN-2017,101.8225000
03-JAN-2017,FUTIRC,684GS2022,28-SEP-2017,101.6450000
03-JAN-2017,FUTIRC,684GS2022,28-DEC-2017,101.4350000
03-JAN-2017,FUTIRC,697GS2026,25-JAN-2017,103.6500000
03-JAN-2017,FUTIRC,697GS2026,23-FEB-2017,103.9250000
03-JAN-2017,FUTIRC,697GS2026,30-MAR-2017,103.8825000
03-JAN-2017,FUTIRC,697GS2026,29-JUN-2017,103.6925000
03-JAN-2017,FUTIRC,697GS2026,28-SEP-2017,103.5300000
03-JAN-2017,FUTIRC,697GS2026,28-DEC-2017,103.2975000
03-JAN-2017,FUTIRC,759GS2026,25-JAN-2017,106.7150000
03-JAN-2017,FUTIRC,759GS2026,23-FEB-2017,106.9350000
03-JAN-2017,FUTIRC,759GS2026,30-MAR-2017,106.8575000
03-JAN-2017,FUTIRC,759GS2026,29-JUN-2017,106.5725000
03-JAN-2017,FUTIRC,759GS2026,28-SEP-2017,106.2825000
03-JAN-2017,FUTIRC,759GS2026,28-DEC-2017,105.9525000
03-JAN-2017,FUTIRC,759GS2029,25-JAN-2017,106.5525000
03-JAN-2017,FUTIRC,759GS2029,23-FEB-2017,106.4925000
03-JAN-2017,FUTIRC,759GS2029,30-MAR-2017,106.4175000
03-JAN-2017,FUTIRC,759GS2029,29-JUN-2017,106.1050000
03-JAN-2017,FUTIRC,759GS2029,28-SEP-2017,105.8300000
03-JAN-2017,FUTIRC,759GS2029,28-DEC-2017,105.4700000
03-JAN-2017,FUTIRC,761GS2030,25-JAN-2017,107.6100000
03-JAN-2017,FUTIRC,761GS2030,23-FEB-2017,107.5500000
03-JAN-2017,FUTIRC,761GS2030,30-MAR-2017,107.4800000
03-JAN-2017,FUTIRC,761GS2030,29-JUN-2017,107.1875000
03-JAN-2017,FUTIRC,761GS2030,28-SEP-2017,106.9150000
03-JAN-2017,FUTIRC,761GS2030,28-DEC-2017,106.5775000
03-JAN-2017,FUTIRC,768GS2023,25-JAN-2017,106.2300000
03-JAN-2017,FUTIRC,768GS2023,23-FEB-2017,106.1500000
03-JAN-2017,FUTIRC,768GS2023,30-MAR-2017,106.0625000
03-JAN-2017,FUTIRC,768GS2023,29-JUN-2017,105.7450000
03-JAN-2017,FUTIRC,768GS2023,28-SEP-2017,105.4200000
03-JAN-2017,FUTIRC,768GS2023,28-DEC-2017,105.0575000
03-JAN-2017,FUTIRC,772GS2025,25-JAN-2017,106.8700000
03-JAN-2017,FUTIRC,772GS2025,23-FEB-2017,106.7950000
03-JAN-2017,FUTIRC,772GS2025,30-MAR-2017,106.7100000
03-JAN-2017,FUTIRC,788GS2030,25-JAN-2017,108.4000000
03-JAN-2017,FUTIRC,788GS2030,23-FEB-2017,108.3950000
03-JAN-2017,FUTIRC,788GS2030,30-MAR-2017,108.5100000
03-JAN-2017,FUTIRC,788GS2030,29-JUN-2017,108.1550000
03-JAN-2017,FUTIRC,788GS2030,28-SEP-2017,107.8400000
03-JAN-2017,FUTIRC,788GS2030,28-DEC-2017,107.4375000
03-JAN-2017,FUTIRT,91DTB,25-JAN-2017,98.5248250
03-JAN-2017,FUTIRT,91DTB,22-FEB-2017,98.5407000
03-JAN-2017,FUTIRT,91DTB,29-MAR-2017,98.5620250
03-JAN-2017,FUTIRT,91DTB,28-JUN-2017,98.6103750
