DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
04-JAN-2017,FUTIRC,684GS2022,25-JAN-2017,102.1050000
04-JAN-2017,FUTIRC,684GS2022,23-FEB-2017,102.0775000
04-JAN-2017,FUTIRC,684GS2022,30-MAR-2017,102.0375000
04-JAN-2017,FUTIRC,684GS2022,29-JUN-2017,101.8750000
04-JAN-2017,FUTIRC,684GS2022,28-SEP-2017,101.7100000
04-JAN-2017,FUTIRC,684GS2022,28-DEC-2017,101.5050000
04-JAN-2017,FUTIRC,697GS2026,25-JAN-2017,104.1975000
04-JAN-2017,FUTIRC,697GS2026,23-FEB-2017,104.1800000
04-JAN-2017,FUTIRC,697GS2026,30-MAR-2017,104.1375000
04-JAN-2017,FUTIRC,697GS2026,29-JUN-2017,103.9550000
04-JAN-2017,FUTIRC,697GS2026,28-SEP-2017,103.8050000
04-JAN-2017,FUTIRC,697GS2026,28-DEC-2017,103.5825000
04-JAN-2017,FUTIRC,759GS2026,25-JAN-2017,107.1700000
04-JAN-2017,FUTIRC,759GS2026,23-FEB-2017,107.1375000
04-JAN-2017,FUTIRC,759GS2026,30-MAR-2017,107.0550000
04-JAN-2017,FUTIRC,759GS2026,29-JUN-2017,106.7825000
04-JAN-2017,FUTIRC,759GS2026,28-SEP-2017,106.5050000
04-JAN-2017,FUTIRC,759GS2026,28-DEC-2017,106.1850000
04-JAN-2017,FUTIRC,759GS2029,25-JAN-2017,106.8250000
04-JAN-2017,FUTIRC,759GS2029,23-FEB-2017,106.7700000
04-JAN-2017,FUTIRC,759GS2029,30-MAR-2017,106.6925000
04-JAN-2017,FUTIRC,759GS2029,29-JUN-2017,106.3900000
04-JAN-2017,FUTIRC,759GS2029,28-SEP-2017,106.1300000
04-JAN-2017,FUTIRC,759GS2029,28-DEC-2017,105.7800000
04-JAN-2017,FUTIRC,761GS2030,25-JAN-2017,107.8925000
04-JAN-2017,FUTIRC,761GS2030,23-FEB-2017,107.8350000
04-JAN-2017,FUTIRC,761GS2030,30-MAR-2017,107.7625000
04-JAN-2017,FUTIRC,761GS2030,29-JUN-2017,107.4825000
04-JAN-2017,FUTIRC,761GS2030,28-SEP-2017,107.2225000
04-JAN-2017,FUTIRC,761GS2030,28-DEC-2017,106.8950000
04-JAN-2017,FUTIRC,768GS2023,25-JAN-2017,106.4275000
04-JAN-2017,FUTIRC,768GS2023,23-FEB-2017,106.3525000
04-JAN-2017,FUTIRC,768GS2023,30-MAR-2017,106.2625000
04-JAN-2017,FUTIRC,768GS2023,29-JUN-2017,105.9525000
04-JAN-2017,FUTIRC,768GS2023,28-SEP-2017,105.6425000
04-JAN-2017,FUTIRC,768GS2023,28-DEC-2017,105.2850000
04-JAN-2017,FUTIRC,772GS2025,25-JAN-2017,107.0200000
04-JAN-2017,FUTIRC,772GS2025,23-FEB-2017,106.9475000
04-JAN-2017,FUTIRC,772GS2025,30-MAR-2017,106.8600000
04-JAN-2017,FUTIRC,788GS2030,25-JAN-2017,108.9250000
04-JAN-2017,FUTIRC,788GS2030,23-FEB-2017,108.8575000
04-JAN-2017,FUTIRC,788GS2030,30-MAR-2017,108.7650000
04-JAN-2017,FUTIRC,788GS2030,29-JUN-2017,108.4225000
04-JAN-2017,FUTIRC,788GS2030,28-SEP-2017,108.1225000
04-JAN-2017,FUTIRC,788GS2030,28-DEC-2017,107.7300000
04-JAN-2017,FUTIRT,91DTB,25-JAN-2017,98.5354500
04-JAN-2017,FUTIRT,91DTB,22-FEB-2017,98.5395500
04-JAN-2017,FUTIRT,91DTB,29-MAR-2017,98.5491250
04-JAN-2017,FUTIRT,91DTB,28-JUN-2017,98.6212500
