DATE ,SYMBOL,UNDERLYING DAILY VOLATILITY,UNDERLYING ANNUALISED VOLATILITY, FUTURES VOLATILITY,FUTURES ANNUALISED VOLATILITY,APPLICABLE VOLATILITY,APPLICABLE ANNUALISED VOLATILITY
09-Jan-17,EURINR,.527517,10.078198,.507864,9.70273,.507864,9.70273
09-Jan-17,GBPINR,.625413,11.948491,.626853,11.976015,.626853,11.976015
09-Jan-17,JPYINR,.685183,13.090409,.691287,13.207023,.691287,13.207023
09-Jan-17,USDINR,.293122,5.600089,.286311,5.469968,.286311,5.469968
