DATE ,SYMBOL,UNDERLYING DAILY VOLATILITY,UNDERLYING ANNUALISED VOLATILITY, FUTURES VOLATILITY,FUTURES ANNUALISED VOLATILITY,APPLICABLE VOLATILITY,APPLICABLE ANNUALISED VOLATILITY
13-Jan-17,EURINR,.532409,10.171665,.504433,9.637178,.504433,9.637178
13-Jan-17,GBPINR,.59638,11.393816,.582813,11.134635,.582813,11.134635
13-Jan-17,JPYINR,.704333,13.456265,.706421,13.496153,.706421,13.496153
13-Jan-17,USDINR,.278434,5.31947,.274701,5.248155,.274701,5.248155
