DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-JAN-2017,FUTIDX,BANKNIFTY,25-JAN-2017,18430.70
10-JAN-2017,FUTIDX,BANKNIFTY,23-FEB-2017,18508.70
10-JAN-2017,FUTIDX,BANKNIFTY,30-MAR-2017,18544.35
10-JAN-2017,FUTIDX,DJIA,20-JAN-2017,19880.00
10-JAN-2017,FUTIDX,DJIA,17-FEB-2017,20027.50
10-JAN-2017,FUTIDX,DJIA,17-MAR-2017,20127.50
10-JAN-2017,FUTIDX,DJIA,16-JUN-2017,20465.00
10-JAN-2017,FUTIDX,DJIA,15-SEP-2017,20805.00
10-JAN-2017,FUTIDX,DJIA,15-DEC-2017,21152.50
10-JAN-2017,FUTIDX,FTSE100,20-JAN-2017,7251.00
10-JAN-2017,FUTIDX,FTSE100,17-FEB-2017,7288.00
10-JAN-2017,FUTIDX,FTSE100,17-MAR-2017,7326.00
10-JAN-2017,FUTIDX,FTSE100,16-JUN-2017,7448.00
10-JAN-2017,FUTIDX,FTSE100,15-SEP-2017,7572.00
10-JAN-2017,FUTIDX,FTSE100,15-DEC-2017,7698.00
10-JAN-2017,FUTIDX,NIFTY,25-JAN-2017,8293.85
10-JAN-2017,FUTIDX,NIFTY,23-FEB-2017,8318.85
10-JAN-2017,FUTIDX,NIFTY,30-MAR-2017,8347.35
10-JAN-2017,FUTIDX,NIFTYCPSE,25-JAN-2017,2419.00
10-JAN-2017,FUTIDX,NIFTYCPSE,23-FEB-2017,2454.60
10-JAN-2017,FUTIDX,NIFTYCPSE,30-MAR-2017,2470.25
10-JAN-2017,FUTIDX,NIFTYINFRA,25-JAN-2017,2808.45
10-JAN-2017,FUTIDX,NIFTYINFRA,23-FEB-2017,2823.50
10-JAN-2017,FUTIDX,NIFTYINFRA,30-MAR-2017,2841.50
10-JAN-2017,FUTIDX,NIFTYIT,25-JAN-2017,10217.00
10-JAN-2017,FUTIDX,NIFTYIT,23-FEB-2017,10304.00
10-JAN-2017,FUTIDX,NIFTYIT,30-MAR-2017,10370.00
