DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
09-JAN-2017,FUTIDX,BANKNIFTY,25-JAN-2017,18329.45
09-JAN-2017,FUTIDX,BANKNIFTY,23-FEB-2017,18404.20
09-JAN-2017,FUTIDX,BANKNIFTY,30-MAR-2017,18471.85
09-JAN-2017,FUTIDX,DJIA,20-JAN-2017,19920.00
09-JAN-2017,FUTIDX,DJIA,17-FEB-2017,19862.50
09-JAN-2017,FUTIDX,DJIA,17-MAR-2017,20207.50
09-JAN-2017,FUTIDX,DJIA,16-JUN-2017,20542.50
09-JAN-2017,FUTIDX,DJIA,15-SEP-2017,20882.50
09-JAN-2017,FUTIDX,DJIA,15-DEC-2017,21230.00
09-JAN-2017,FUTIDX,FTSE100,20-JAN-2017,7225.00
09-JAN-2017,FUTIDX,FTSE100,17-FEB-2017,7261.00
09-JAN-2017,FUTIDX,FTSE100,17-MAR-2017,7298.00
09-JAN-2017,FUTIDX,FTSE100,16-JUN-2017,7419.00
09-JAN-2017,FUTIDX,FTSE100,15-SEP-2017,7542.00
09-JAN-2017,FUTIDX,FTSE100,15-DEC-2017,7667.00
09-JAN-2017,FUTIDX,NIFTY,25-JAN-2017,8249.90
09-JAN-2017,FUTIDX,NIFTY,23-FEB-2017,8277.05
09-JAN-2017,FUTIDX,NIFTY,30-MAR-2017,8303.85
09-JAN-2017,FUTIDX,NIFTYCPSE,25-JAN-2017,2426.70
09-JAN-2017,FUTIDX,NIFTYCPSE,23-FEB-2017,2439.60
09-JAN-2017,FUTIDX,NIFTYCPSE,30-MAR-2017,2455.10
09-JAN-2017,FUTIDX,NIFTYINFRA,25-JAN-2017,2789.40
09-JAN-2017,FUTIDX,NIFTYINFRA,23-FEB-2017,2804.20
09-JAN-2017,FUTIDX,NIFTYINFRA,30-MAR-2017,2822.00
09-JAN-2017,FUTIDX,NIFTYIT,25-JAN-2017,10208.00
09-JAN-2017,FUTIDX,NIFTYIT,23-FEB-2017,10282.00
09-JAN-2017,FUTIDX,NIFTYIT,30-MAR-2017,10347.00
09-JAN-2017,FUTIDX,NIFTYMID50,25-JAN-2017,3790.75
09-JAN-2017,FUTIDX,NIFTYMID50,23-FEB-2017,3810.90
09-JAN-2017,FUTIDX,NIFTYMID50,30-MAR-2017,3835.05
09-JAN-2017,FUTIDX,NIFTYPSE,25-JAN-2017,3808.65
09-JAN-2017,FUTIDX,NIFTYPSE,23-FEB-2017,3828.90
09-JAN-2017,FUTIDX,NIFTYPSE,30-MAR-2017,3853.15
09-JAN-2017,FUTIDX,S&P500,20-JAN-2017,2272.00
09-JAN-2017,FUTIDX,S&P500,17-FEB-2017,2293.25
09-JAN-2017,FUTIDX,S&P500,17-MAR-2017,2304.75
09-JAN-2017,FUTIDX,S&P500,16-JUN-2017,2343.00
09-JAN-2017,FUTIDX,S&P500,15-SEP-2017,2381.75
09-JAN-2017,FUTIDX,S&P500,15-DEC-2017,2421.25
09-JAN-2017,FUTIVX,INDIAVIX,10-JAN-2017,1552.25
09-JAN-2017,FUTIVX,INDIAVIX,17-JAN-2017,1552.25
09-JAN-2017,FUTIVX,INDIAVIX,24-JAN-2017,1552.25
09-JAN-2017,FUTSTK,ABIRLANUVO,25-JAN-2017,1283.65
09-JAN-2017,FUTSTK,ABIRLANUVO,23-FEB-2017,1288.25
09-JAN-2017,FUTSTK,ABIRLANUVO,30-MAR-2017,1301.25
09-JAN-2017,FUTSTK,ACC,25-JAN-2017,1330.65
09-JAN-2017,FUTSTK,ACC,23-FEB-2017,1338.70
