DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
04-JAN-2017,FUTIDX,BANKNIFTY,25-JAN-2017,17941.85
04-JAN-2017,FUTIDX,BANKNIFTY,23-FEB-2017,18012.90
04-JAN-2017,FUTIDX,BANKNIFTY,30-MAR-2017,18089.45
04-JAN-2017,FUTIDX,DJIA,20-JAN-2017,19840.00
04-JAN-2017,FUTIDX,DJIA,17-FEB-2017,20040.00
04-JAN-2017,FUTIDX,DJIA,17-MAR-2017,20140.00
04-JAN-2017,FUTIDX,DJIA,16-JUN-2017,20467.50
04-JAN-2017,FUTIDX,DJIA,15-SEP-2017,20802.50
04-JAN-2017,FUTIDX,DJIA,15-DEC-2017,21140.00
04-JAN-2017,FUTIDX,FTSE100,20-JAN-2017,7199.00
04-JAN-2017,FUTIDX,FTSE100,17-FEB-2017,7235.00
04-JAN-2017,FUTIDX,FTSE100,17-MAR-2017,7271.00
04-JAN-2017,FUTIDX,FTSE100,16-JUN-2017,7389.00
04-JAN-2017,FUTIDX,FTSE100,15-SEP-2017,7510.00
04-JAN-2017,FUTIDX,FTSE100,15-DEC-2017,7632.00
04-JAN-2017,FUTIDX,NIFTY,25-JAN-2017,8204.05
04-JAN-2017,FUTIDX,NIFTY,23-FEB-2017,8229.70
04-JAN-2017,FUTIDX,NIFTY,30-MAR-2017,8257.80
04-JAN-2017,FUTIDX,NIFTYCPSE,25-JAN-2017,2386.35
04-JAN-2017,FUTIDX,NIFTYCPSE,23-FEB-2017,2423.80
04-JAN-2017,FUTIDX,NIFTYCPSE,30-MAR-2017,2438.95
04-JAN-2017,FUTIDX,NIFTYINFRA,25-JAN-2017,2777.25
04-JAN-2017,FUTIDX,NIFTYINFRA,23-FEB-2017,2791.70
04-JAN-2017,FUTIDX,NIFTYINFRA,30-MAR-2017,2809.10
04-JAN-2017,FUTIDX,NIFTYIT,25-JAN-2017,10496.00
04-JAN-2017,FUTIDX,NIFTYIT,23-FEB-2017,10591.00
04-JAN-2017,FUTIDX,NIFTYIT,30-MAR-2017,10657.00
04-JAN-2017,FUTIDX,NIFTYMID50,25-JAN-2017,3734.55
04-JAN-2017,FUTIDX,NIFTYMID50,23-FEB-2017,3754.00
04-JAN-2017,FUTIDX,NIFTYMID50,30-MAR-2017,3777.45
04-JAN-2017,FUTIDX,NIFTYPSE,25-JAN-2017,3798.70
04-JAN-2017,FUTIDX,NIFTYPSE,23-FEB-2017,3818.45
04-JAN-2017,FUTIDX,NIFTYPSE,30-MAR-2017,3842.30
04-JAN-2017,FUTIDX,S&P500,20-JAN-2017,2255.75
04-JAN-2017,FUTIDX,S&P500,17-FEB-2017,2275.75
04-JAN-2017,FUTIDX,S&P500,17-MAR-2017,2287.00
04-JAN-2017,FUTIDX,S&P500,16-JUN-2017,2324.25
04-JAN-2017,FUTIDX,S&P500,15-SEP-2017,2362.25
04-JAN-2017,FUTIDX,S&P500,15-DEC-2017,2400.75
04-JAN-2017,FUTIVX,INDIAVIX,10-JAN-2017,1587.00
04-JAN-2017,FUTIVX,INDIAVIX,17-JAN-2017,1587.00
04-JAN-2017,FUTIVX,INDIAVIX,24-JAN-2017,1587.00
04-JAN-2017,FUTSTK,ABIRLANUVO,25-JAN-2017,1293.45
04-JAN-2017,FUTSTK,ABIRLANUVO,23-FEB-2017,1295.40
04-JAN-2017,FUTSTK,ABIRLANUVO,30-MAR-2017,1312.10
04-JAN-2017,FUTSTK,ACC,25-JAN-2017,1324.90
04-JAN-2017,FUTSTK,ACC,23-FEB-2017,1331.20
04-JAN-2017,FUTSTK,ACC,30-MAR-2017,1339.50
04-JAN-2017,FUTSTK,ADANIENT,25-JAN-2017,78.05
04-JAN-2017,FUTSTK,ADANIENT,23-FEB-2017,78.50
04-JAN-2017,FUTSTK,ADANIENT,30-MAR-2017,79.00
04-JAN-2017,FUTSTK,ADANIPORTS,25-JAN-2017,275.20
04-JAN-2017,FUTSTK,ADANIPORTS,23-FEB-2017,277.35
04-JAN-2017,FUTSTK,ADANIPORTS,30-MAR-2017,279.10
